feature,abs_correlation
V257,0.38305975102060397
V246,0.3668776990983748
V244,0.3641291589611937
V242,0.3605904902659568
V201,0.3280050345981478
V200,0.3187825140584447
V189,0.3082194603691195
V188,0.30358227133771953
V258,0.29715149798963275
V45,0.28183194637642134
V158,0.27806624478809994
V156,0.27595208951457123
V149,0.2732821052990572
V228,0.26886098278183895
V44,0.26037616734620606
V86,0.25182798642396304
V87,0.25173744221272076
V170,0.24979447724564008
V147,0.24289437453977428
V52,0.23946916785411795
